--To get list of all installed packages run :

sudo aptitude -F '%p' search '~i!~M'	-< gives without description
sudo aptitude search '~i!~M'			-< with description
sudo apt list --installed				-< with description
------------------------------------------------------------------------
Install Teams, Chrome, Code, Burpsuite, using there official packages
------------------------------------------------------------------------

Important PPAs:
sudo add-apt-repository ppa:system76/pop
sudo add-apt-repository ppa:numix/ppa
sudo add-apt-repository ppa:i2p-maintainers/i2p

------------------------------------------------------------------------

i  4kvideodownloader - Download online video
i  acpi - displays information on ACPI devices
i  acpi-support - scripts for handling many ACPI events
i  adb - Android Debug Bridge
i  adduser - add and remove users and groups
i  aircrack-ng - wireless WEP/WPA cracking utilities
i  alsa-base - ALSA driver configuration files
i  app-install-data-partner - Application Installer (data files for partner applications/repositories)
i  appmenu-gtk2-module - GtkMenuShell D-Bus exporter (GTK+2.0)
i  appmenu-gtk3-module - GtkMenuShell D-Bus exporter (GTK+3.0)
i  apt - commandline package manager
i  apt-transport-https - transitional package for https support
i  apt-utils - package management related utility programs
i  aptitude - terminal-based package manager
i  avahi-autoipd - Avahi IPv4LL network address configuration daemon
i  avahi-daemon - Avahi mDNS/DNS-SD daemon
i  baobab - GNOME disk usage analyzer
i  base-files - Debian base system miscellaneous files
i  base-passwd - Debian base system master password and group files
i  bash - GNU Bourne Again SHell
i  binwalk - tool library for analyzing binary blobs and executable code
i  bleachbit - delete unnecessary files from the system
i  bluez - Bluetooth tools and daemons
i  bluez-cups - Bluetooth printer driver for CUPS
i  breeze-cursor-theme - Default Plasma cursor theme.
i  bsdutils - basic utilities from 4.4BSD-Lite
i  build-essential - Informational list of build-essential packages
i  bzip2 - high-quality block-sorting file compressor - utilities
i  bzr - transitional dummy package for brz
i  ca-certificates - Common CA certificates
i  caca-utils - text mode graphics utilities
i  checkinstall - installation tracker
i  cheese - tool to take pictures and videos from your webcam
i  chrome-gnome-shell - GNOME Shell extensions integration for web browsers
i  cmatrix - simulates the display from "The Matrix"
i  code - Code editing. Redefined.
i  com.github.donadigo.eddy - Eddy
i  console-setup - console font and keymap setup program
i  console-setup-linux - Linux specific part of console-setup
i  copyq - Advanced clipboard manager with editing and scripting features
i  coreutils - GNU core utilities
i  cowsay - configurable talking cow
i  cron - process scheduling daemon
i  cryptsetup - disk encryption support - startup scripts
i  cups - Common UNIX Printing System(tm) - PPD/driver support, web interface
i  cups-bsd - Common UNIX Printing System(tm) - BSD commands
i  curl - command line tool for transferring data with URL syntax
i  dash - POSIX-compliant shell
i  dbus - simple interprocess messaging system (daemon and utilities)
i  dbus-user-session - simple interprocess messaging system (systemd --user integration)
i  dconf-editor - simple configuration storage system - graphical editor
i  debconf - Debian configuration management system
i  debconf-i18n - full internationalization support for debconf
i  debianutils - Miscellaneous utilities specific to Debian
i  default-jdk - Standard Java or Java compatible Development Kit
i  diffutils - File comparison utilities
i  dirmngr - GNU privacy guard - network certificate management service
i  distro-info-data - information about the distributions' releases (data files)
i  dmsetup - Linux Kernel Device Mapper userspace library
i  dosbox - x86 emulator with Tandy/Herc/CGA/EGA/VGA/SVGA graphics, sound and DOS
i  dosfstools - utilities for making and checking MS-DOS FAT filesystems
i  dpkg - Debian package management system
i  e2fsprogs - ext2/ext3/ext4 file system utilities
i  ecryptfs-utils - ecryptfs cryptographic filesystem (utilities)
i  eject - ejects CDs and operates CD-Changers under Linux
i  eog - Eye of GNOME graphics viewer program
i  espeak - Multi-lingual software speech synthesizer
i  evince - Document (PostScript, PDF) viewer
i  fbreader - e-book reader
i  fdisk - collection of partitioning utilities
i  feh - imlib2 based image viewer
i  ffmpeg - Tools for transcoding, streaming and playing of multimedia files
i  file - Recognize the type of data in a file using "magic" numbers
i  file-roller - archive manager for GNOME
i  findutils - utilities for finding files--find, xargs
i  finger - user information lookup program
i  firefox - Safe and easy web browser from Mozilla
i  firefox-locale-ar - Arabic language pack for Firefox
i  firefox-locale-de - German language pack for Firefox
i  firefox-locale-en - English language pack for Firefox
i  firefox-locale-es - Spanish; Castilian language pack for Firefox
i  firefox-locale-fr - French language pack for Firefox
i  firefox-locale-it - Italian language pack for Firefox
i  firefox-locale-ja - Japanese language pack for Firefox
i  firefox-locale-pt - Portuguese language pack for Firefox
i  firefox-locale-ru - Russian language pack for Firefox
i  firefox-locale-zh-hans - Simplified Chinese language pack for Firefox
i  firefox-locale-zh-hant - Traditional Chinese language pack for Firefox
i  fonts-arabeyes - Arabeyes GPL TrueType Arabic fonts
i  fonts-arphic-ukai - "AR PL UKai" Chinese Unicode TrueType font collection Kaiti style
i  fonts-arphic-uming - "AR PL UMing" Chinese Unicode TrueType font collection Mingti style
i  fonts-dejavu-core - Vera font family derivate with additional characters
i  fonts-firacode - Monospaced font with programming ligatures
i  fonts-freefont-ttf - Freefont Serif, Sans and Mono Truetype fonts
i  fonts-kacst - KACST free TrueType Arabic fonts
i  fonts-liberation - Fonts with the same metrics as Times, Arial and Courier
i  fonts-noto - metapackage to pull in all Noto fonts
i  fonts-noto-cjk - "No Tofu" font families with large Unicode coverage (CJK regular and bold)
i  fonts-noto-cjk-extra - "No Tofu" font families with large Unicode coverage (CJK all weight)
i  fonts-noto-color-emoji - color emoji font from Google
i  fonts-roboto - metapackage to pull in Roboto fonts
i  fonts-roboto-fontface - largely geometric, friendly and open curves font
i  fonts-symbola - symbolic font providing emoji characters from Unicode 9.0
i  foremost - forensic program to recover lost files
i  fortune-mod - provides fortune cookies on demand
i  fwupd - Firmware update daemon
i  fwupdate - Transitional package for fwupd
i  gcc-9-base - GCC, the GNU Compiler Collection (base package)
i  gdb - GNU Debugger
i  gdm3 - GNOME Display Manager
i  gedit - official text editor of the GNOME desktop environment
i  gedit-plugins - set of plugins for gedit
i  ghostscript-x - interpreter for the PostScript language and for PDF - X11 support
i  gimp - GNU Image Manipulation Program
i  gimp-help-de - Documentation for the GIMP (German)
i  gimp-help-en - Documentation for the GIMP (English)
i  gimp-help-es - Documentation for the GIMP (Spanish)
i  gimp-help-fr - Documentation for the GIMP (French)
i  gimp-help-it - Documentation for the GIMP (Italian)
i  gimp-help-ja - Documentation for the GIMP (Japanese)
i  gimp-help-pt - Documentation for the GIMP (Portuguese)
i  gimp-help-ru - Documentation for the GIMP (Russian)
i  gir1.2-geocodeglib-1.0 - introspection data for geocode-glib library
i  gir1.2-glib-2.0 - Introspection data for GLib, GObject, Gio and GModule
i  gir1.2-gmenu-3.0 - GObject introspection data for the GNOME menu library
i  gir1.2-packagekitglib-1.0 - GObject introspection data for the PackageKit GLib library
i  git - fast, scalable, distributed revision control system
i  glib-networking - network-related giomodules for GLib
i  gnome-bluetooth - GNOME Bluetooth tools
i  gnome-boxes - Simple GNOME app to access remote or virtual systems
i  gnome-calculator - GNOME desktop calculator
i  gnome-control-center - utilities to configure the GNOME desktop
i  gnome-disk-utility - manage and configure disk drives and media
i  gnome-font-viewer - font viewer for GNOME
i  gnome-getting-started-docs-de - Help a new user get started in GNOME (German)
i  gnome-getting-started-docs-es - Help a new user get started in GNOME (Spanish)
i  gnome-getting-started-docs-fr - Help a new user get started in GNOME (French)
i  gnome-getting-started-docs-it - Help a new user get started in GNOME (Italian)
i  gnome-getting-started-docs-ja - Help a new user get started in GNOME (Japanese)
i  gnome-getting-started-docs-pt - Help a new user get started in GNOME (Portuguese)
i  gnome-getting-started-docs-ru - Help a new user get started in GNOME (Russian)
i  gnome-getting-started-docs-zh-hk - Help a new user get started in GNOME (Chinese (Traditional, Hong Kong))
i  gnome-getting-started-docs-zh-tw - Help a new user get started in GNOME (Chinese (Traditional, Taiwan))
i  gnome-menus - GNOME implementation of the freedesktop menu specification
i  gnome-mines - popular minesweeper puzzle game for GNOME
i  gnome-online-miners - Crawls through your online content
i  gnome-orca - Scriptable screen reader - transitional package
i  gnome-power-manager - power management tool for the GNOME desktop
i  gnome-screenshot - screenshot application for GNOME
i  gnome-shell - graphical shell for the GNOME desktop
i  gnome-shell-extensions - Extensions to extend functionality of GNOME Shell
i  gnome-sound-recorder - simple and modern sound recorder for GNOME
i  gnome-sushi - sushi is a quick previewer for nautilus
i  gnome-system-monitor - Process viewer and system resource monitor for GNOME
i  gnome-terminal - GNOME terminal emulator application
i  gnome-themes-standard - Adwaita GTK+ 2 theme — engine - transitional package
i  gnome-tweaks - tool to adjust advanced configuration settings for GNOME
i  gnome-user-docs-de - GNOME user docs (German)
i  gnome-user-docs-es - GNOME user docs (Spanish)
i  gnome-user-docs-fr - GNOME user docs (French)
i  gnome-user-docs-it - GNOME user docs (Italian)
i  gnome-user-docs-ja - GNOME user docs (Japanese)
i  gnome-user-docs-pt - GNOME user docs (Portuguese)
i  gnome-user-docs-ru - GNOME user docs (Russian)
i  gnome-user-docs-zh-hans - GNOME user docs (Simplified Chinese)
i  gnome-video-effects - Collection of GStreamer effects
i  gnupg - GNU privacy guard - a free PGP replacement
i  gnupg-l10n - GNU privacy guard - localization files
i  gnupg-utils - GNU privacy guard - utility programs
i  gnuplot-x11 - Command-line driven interactive plotting program. X-package
i  google-chrome-stable - The web browser from Google
i  googler - Power tool to Google (Web & News) and Google Site Search from the terminal
i  gpg - GNU Privacy Guard -- minimalist public key operations
i  gpg-agent - GNU privacy guard - cryptographic agent
i  gpg-wks-client - GNU privacy guard - Web Key Service client
i  gpg-wks-server - GNU privacy guard - Web Key Service server
i  gpgconf - GNU privacy guard - core configuration utilities
i  gpgsm - GNU privacy guard - S/MIME version
i  gpgv - GNU privacy guard - signature verification tool
i  gpick - advanced GTK+ color picker
i  grep - GNU grep, egrep and fgrep
i  gstreamer1.0-alsa - GStreamer plugin for ALSA
i  gstreamer1.0-libav - ffmpeg plugin for GStreamer
i  gstreamer1.0-plugins-bad - GStreamer plugins from the "bad" set
i  gstreamer1.0-plugins-base-apps - GStreamer helper programs from the "base" set
i  gstreamer1.0-plugins-ugly - GStreamer plugins from the "ugly" set
i  gstreamer1.0-vaapi - VA-API plugins for GStreamer
i  gtk2-engines-murrine - cairo-based gtk+-2.0 theme engine
i  gtk2-engines-pixbuf - pixbuf-based theme for GTK 2
i  guake - Drop-down terminal for GNOME Desktop Environment
i  gucharmap - Unicode character picker and font browser
i  gvfs-backends - userspace virtual filesystem - backends
i  gvfs-bin - userspace virtual filesystem - deprecated command-line tools
i  gvfs-fuse - userspace virtual filesystem - fuse server
i  gzip - GNU compression utilities
i  hashcat - World's fastest and most advanced password recovery utility
i  hidpi-daemon - Daemon to manage HiDPI and LoDPI monitors on X
i  hostname - utility to set/show the host name or domain name
i  htop - interactive processes viewer
i  hunspell-ar - Arabic dictionary for hunspell
i  hunspell-de-at-frami - German (Austria) dictionary for hunspell ("frami" version)
i  hunspell-de-ch-frami - German (Switzerland) dictionary for hunspell ("frami" version)
i  hunspell-de-de-frami - German dictionary for hunspell ("frami" version)
i  hunspell-en-au - English (Australia) dictionary for hunspell
i  hunspell-en-ca - English (Canada) dictionary for hunspell
i  hunspell-en-gb - English (GB) dictionary for hunspell
i  hunspell-en-us - English_american dictionary for hunspell
i  hunspell-en-za - English (South Africa) dictionary for hunspell
i  hunspell-es - Spanish dictionary for hunspell
i  hunspell-fr - French dictionary for hunspell (dependency package)
i  hunspell-it - Italian dictionary for hunspell
i  hunspell-pt-br - Brazilian Portuguese dictionary for hunspell
i  hunspell-pt-pt - Portuguese dictionary for hunspell
i  hunspell-ru - Russian dictionary for hunspell
i  hydra - very fast network logon cracker
i  hyphen-de - German hyphenation patterns
i  hyphen-en-ca - English (Canada) hyphenation patterns
i  hyphen-en-gb - English (GB) hyphenation patterns
i  hyphen-en-us - English (US) hyphenation patterns
i  hyphen-es - Spanish hyphenation patterns
i  hyphen-fr - French hyphenation patterns
i  hyphen-it - Italian hyphenation patterns
i  hyphen-pt-br - Brazilian Portuguese hyphenation patterns
i  hyphen-pt-pt - Portuguese hyphenation patterns
i  hyphen-ru - Russian hyphenation patterns for LibreOffice/OpenOffice.org
i  i2p - Invisible Internet Project (I2P) - anonymous network
i  i2p-keyring - GnuPG keys of the I2P package repository
i  ibus-chewing - Chewing engine for IBus
i  ibus-libpinyin - Intelligent Pinyin engine based on libpinyin for IBus
i  ibus-table - table engine for IBus
i  ibus-table-cangjie3 - ibus-table input method: CangJie3
i  ibus-table-cangjie5 - ibus-table input method: CangJie5
i  ibus-table-quick-classic - ibus-table input method: Quick Classic
i  ibus-table-wubi - ibus-table input method: Wubi
i  idle - IDE for Python using Tkinter (default version)
i  ifupdown - high level tools to configure network interfaces
i  init - metapackage ensuring an init system is installed
i  init-system-helpers - helper tools for all init systems
i  inputattach - utility to connect serial-attached peripherals to the input subsystem
i  intel-microcode - Processor microcode firmware for Intel CPUs
i  iproute2 - networking and traffic control tools
i  iputils-ping - Tools to test the reachability of network hosts
i  isc-dhcp-client - DHCP client for automatically obtaining an IP address
i  isc-dhcp-common - common manpages relevant to all of the isc-dhcp packages
i  iso-codes - ISO language, territory, currency, script codes and their translations
i  jupyter-core - Core common functionality of Jupyter projects (tools)
i  jupyter-notebook - Jupyter interactive notebook
i  kali-anonsurf - Parrot stealth and anon scripts, ported to work with Kali Linux
i  kbd - Linux console font and keytable utilities
i  kernelstub - Automatic kernel efistub manager for UEFI
i  keyboard-configuration - system-wide keyboard preferences
i  kmod - tools for managing Linux kernel modules
i  language-pack-ar - translation updates for language Arabic
i  language-pack-de - translation updates for language German
i  language-pack-en - translation updates for language English
i  language-pack-es - translation updates for language Spanish; Castilian
i  language-pack-fr - translation updates for language French
i  language-pack-gnome-ar - GNOME translation updates for language Arabic
i  language-pack-gnome-de - GNOME translation updates for language German
i  language-pack-gnome-en - GNOME translation updates for language English
i  language-pack-gnome-es - GNOME translation updates for language Spanish; Castilian
i  language-pack-gnome-fr - GNOME translation updates for language French
i  language-pack-gnome-it - GNOME translation updates for language Italian
i  language-pack-gnome-ja - GNOME translation updates for language Japanese
i  language-pack-gnome-pt - GNOME translation updates for language Portuguese
i  language-pack-gnome-ru - GNOME translation updates for language Russian
i  language-pack-gnome-zh-hans - GNOME translation updates for language Simplified Chinese
i  language-pack-gnome-zh-hant - GNOME translation updates for language Traditional Chinese
i  language-pack-it - translation updates for language Italian
i  language-pack-ja - translation updates for language Japanese
i  language-pack-pt - translation updates for language Portuguese
i  language-pack-ru - translation updates for language Russian
i  language-pack-zh-hans - translation updates for language Simplified Chinese
i  language-pack-zh-hant - translation updates for language Traditional Chinese
i  language-selector-gnome - Language selector for Ubuntu
i  laptop-detect - system chassis type checker
i  less - pager program similar to more
i  lib32z1 - compression library - 32 bit runtime
i  libacl1 - access control list - shared library
i  libapparmor1 - changehat AppArmor library
i  libappstream4 - Library to access AppStream services
i  libapt-pkg5.90 - package management runtime library
i  libargon2-1 - memory-hard hashing function - runtime library
i  libasn1-8-heimdal - Heimdal Kerberos - ASN.1 library
i  libassuan0 - IPC library for the GnuPG components
i  libatk-adaptor - AT-SPI 2 toolkit bridge
i  libatm1 - shared library for ATM (Asynchronous Transfer Mode)
i  libattr1 - extended attribute handling - shared library
i  libaudit-common - Dynamic library for security auditing - common files
i  libaudit1 - Dynamic library for security auditing
i  libblkid1 - block device ID library
i  libblockdev-crypto2 - Crypto plugin for libblockdev
i  libblockdev-mdraid2 - MD RAID plugin for libblockdev
i  libbsd0 - utility functions from BSD systems - shared library
i  libbz2-1.0 - high-quality block-sorting file compressor library - runtime
i  libbz2-1.0:i386 - high-quality block-sorting file compressor library - runtime
i  libc-bin - GNU C Library: Binaries
i  libc6 - GNU C Library: Shared libraries
i  libc6:i386 - GNU C Library: Shared libraries
i  libcanberra-gtk-module - translates GTK+ widgets signals to event sounds
i  libcap-ng0 - An alternate POSIX capabilities library
i  libcap2 - POSIX 1003.1e capabilities (library)
i  libcap2-bin - POSIX 1003.1e capabilities (utilities)
i  libcom-err2 - common error description library
i  libcryptsetup12 - disk encryption support - shared library
i  libdb5.3 - Berkeley v5.3 Database Libraries [runtime]
i  libdbus-1-3 - simple interprocess messaging system (library)
i  libdebconfclient0 - Debian Configuration Management System (C-implementation library)
i  libdevmapper1.02.1 - Linux Kernel Device Mapper userspace library
i  libdns-export1104 - Exported DNS Shared Library
i  libegl-mesa0 - free implementation of the EGL API -- Mesa vendor library
i  libelf1 - library to read and write ELF files
i  libestr0 - Helper functions for handling strings (lib)
i  libexpat1 - XML parsing C library - runtime library
i  libext2fs2 - ext2/ext3/ext4 file system libraries
i  libfastjson4 - fast json library for C
i  libfdisk1 - fdisk partitioning library
i  libffi6 - Foreign Function Interface library runtime
i  libfribidi0 - Free Implementation of the Unicode BiDi algorithm
i  libgcc1 - GCC support library (dependency package)
i  libgcrypt20 - LGPL Crypto library - runtime library
i  libgdk-pixbuf2.0-dev - GDK Pixbuf library (development files)
i  libgirepository-1.0-1 - Library for handling GObject introspection data (runtime library)
i  libglib2.0-0 - GLib library of C routines
i  libglib2.0-bin - Programs for the GLib library
i  libglib2.0-data - Common files for GLib library
i  libglib2.0-dev - Development files for the GLib library
i  libgmp10 - Multiprecision arithmetic library
i  libgnutls30 - GNU TLS library - main runtime library
i  libgpg-error0 - GnuPG development runtime library
i  libgssapi3-heimdal - Heimdal Kerberos - GSSAPI support library
i  libgstreamer1.0-0 - Core GStreamer libraries and elements
i  libhcrypto4-heimdal - Heimdal Kerberos - crypto library
i  libheimbase1-heimdal - Heimdal Kerberos - Base library
i  libheimntlm0-heimdal - Heimdal Kerberos - NTLM support library
i  libhogweed4 - low level cryptographic library (public-key cryptos)
i  libhx509-5-heimdal - Heimdal Kerberos - X509 support library
i  libicu63 - International Components for Unicode
i  libidn2-0 - Internationalized domain names (IDNA2008/TR46) library
i  libinput-tools - input device management and event handling library - command line tools
i  libip4tc2 - netfilter libip4tc library
i  libisc-export1100 - Exported ISC Shared Library
i  libjson-c4 - JSON manipulation library - shared library
i  libkmod2 - libkmod shared library
i  libkrb5-26-heimdal - Heimdal Kerberos - libraries
i  libksba8 - X.509 and CMS support library
i  libldap-2.4-2 - OpenLDAP libraries
i  libldap-common - OpenLDAP common files for libraries
i  liblmdb0 - Lightning Memory-Mapped Database shared library
i  liblocale-gettext-perl - module using libc functions for internationalization in Perl
i  liblz4-1 - Fast LZ compression algorithm library - runtime
i  liblzma5 - XZ-format compression library
i  libmagic-mgc - File type determination library using "magic" numbers (compiled magic file)
i  libmagic1 - Recognize the type of data in a file using "magic" numbers - library
i  libmnl0 - minimalistic Netlink communication library
i  libmount1 - device mounting library
i  libmpdec2 - library for decimal floating point arithmetic (runtime library)
i  libncurses5:i386 - shared libraries for terminal handling (legacy version)
i  libncurses5-dev - transitional package for libncurses-dev
i  libncurses6 - shared libraries for terminal handling
i  libncursesw6 - shared libraries for terminal handling (wide character support)
